dep_code;year;deaths
83;2017;11906
83;2018;11946
83;2019;12213
83;2020;12648
83;2021;13905
84;2012;5094
84;2013;5054
84;2014;4963
84;2015;5498
84;2016;5465
84;2017;5475
84;2018;5504
84;2019;5629
84;2020;5990
84;2021;6103
85;2012;6356
85;2013;6381
85;2014;6373
85;2015;6876
85;2016;6992
85;2017;7224
85;2018;7291
85;2019;7436
85;2020;7483
85;2021;7915
86;2012;4260
86;2013;4155
86;2014;3909
86;2015;4185
86;2016;4192
86;2017;4191
86;2018;4418
86;2019;4481
86;2020;4570
86;2021;4675
87;2012;3992
87;2013;4038
87;2014;3865
87;2015;4352
87;2016;4110
87;2017;4131
87;2018;4165
87;2019;4254
87;2020;4301
87;2021;4283
88;2012;4095
88;2013;4061
88;2014;4068
88;2015;4267
88;2016;4328
88;2017;4295
88;2018;4355
88;2019;4307
88;2020;5013
88;2021;4660
89;2012;4075
89;2013;3850
89;2014;3892
89;2015;4188
89;2016;4169
89;2017;4183
89;2018;4209
89;2019;4285
89;2020;4452
89;2021;4394
90;2012;1330
90;2013;1214
90;2014;1252
90;2015;1378
90;2016;1262
90;2017;1259
90;2018;1303
90;2019;1365
90;2020;1587
90;2021;1438
91;2012;7438
91;2013;7486
91;2014;7384
91;2015;7843
91;2016;7962
91;2017;8060
91;2018;7991
91;2019;8078
91;2020;9731
91;2021;9042
92;2012;9855
92;2013;9842
92;2014;9547
92;2015;10008
92;2016;9982
92;2017;10172
92;2018;9908
92;2019;10022
92;2020;11820
92;2021;10712
93;2012;8474
93;2013;8535
93;2014;8272
93;2015;8911
93;2016;8656
93;2017;8839
93;2018;8959
93;2019;8946
93;2020;11104
93;2021;10324
94;2012;8327
94;2013;8100
94;2014;7953
94;2015;8565
94;2016;8398
94;2017;8487
94;2018;8846
94;2019;8726
94;2020;10396
94;2021;9311
95;2012;6998
95;2013;7085
95;2014;6940
95;2015;7192
95;2016;7371
95;2017;7502
95;2018;7463
95;2019;7593
95;2020;9229
95;2021;8250
