dep_code;year;panel;bdm;diff;status
51;2014;10.0;10.0;0.0;EXACT
51;2015;10.0;10.0;0.0;EXACT
51;2016;9.6;9.6;0.0;EXACT
51;2017;8.8;8.9;0.1;WITHIN_0.1
51;2018;8.4;8.4;0.0;EXACT
51;2019;7.9;7.9;0.0;EXACT
51;2020;7.6;7.6;0.0;EXACT
51;2021;7.4;7.4;0.0;EXACT
52;2012;9.2;9.2;0.0;EXACT
52;2013;9.8;9.8;0.0;EXACT
52;2014;9.7;9.7;0.0;EXACT
52;2015;9.8;9.8;0.0;EXACT
52;2016;9.4;9.4;0.0;EXACT
52;2017;8.6;8.5;0.1;WITHIN_0.1
52;2018;8.1;8.1;0.0;EXACT
52;2019;7.5;7.4;0.1;WITHIN_0.1
52;2020;7.1;7.1;0.0;EXACT
52;2021;6.7;6.7;0.0;EXACT
53;2012;6.4;6.4;0.0;EXACT
53;2013;6.9;6.9;0.0;EXACT
53;2014;6.8;6.8;0.0;EXACT
53;2015;7.1;7.1;0.0;EXACT
53;2016;6.8;6.8;0.0;EXACT
53;2017;6.2;6.2;0.0;EXACT
53;2018;5.8;5.8;0.0;EXACT
53;2019;5.6;5.6;0.0;EXACT
53;2020;5.8;5.8;0.0;EXACT
53;2021;5.2;5.3;0.1;WITHIN_0.1
54;2012;9.5;9.5;0.0;EXACT
54;2013;10.1;10.1;0.0;EXACT
54;2014;9.9;10.0;0.1;WITHIN_0.1
54;2015;10.1;10.1;0.0;EXACT
54;2016;9.8;9.8;0.0;EXACT
54;2017;9.2;9.3;0.1;WITHIN_0.1
54;2018;8.7;8.7;0.0;EXACT
54;2019;8.0;8.0;0.0;EXACT
54;2020;7.6;7.6;0.0;EXACT
54;2021;7.4;7.5;0.1;WITHIN_0.1
55;2012;10.1;10.2;0.1;WITHIN_0.1
55;2013;10.5;10.5;0.0;EXACT
55;2014;10.2;10.2;0.0;EXACT
55;2015;10.1;10.1;0.0;EXACT
55;2016;9.8;9.8;0.0;EXACT
55;2017;9.0;9.0;0.0;EXACT
55;2018;8.6;8.6;0.0;EXACT
55;2019;7.9;7.9;0.0;EXACT
55;2020;7.4;7.4;0.0;EXACT
55;2021;7.5;7.5;0.0;EXACT
56;2012;8.5;8.5;0.0;EXACT
56;2013;9.2;9.2;0.0;EXACT
56;2014;9.3;9.3;0.0;EXACT
56;2015;9.4;9.4;0.0;EXACT
56;2016;9.1;9.1;0.0;EXACT
56;2017;8.4;8.4;0.0;EXACT
56;2018;7.9;7.9;0.0;EXACT
56;2019;7.3;7.3;0.0;EXACT
56;2020;6.9;6.9;0.0;EXACT
56;2021;6.5;6.5;0.0;EXACT
57;2012;9.9;9.9;0.0;EXACT
57;2013;10.8;10.8;0.0;EXACT
57;2014;10.7;10.7;0.0;EXACT
57;2015;10.6;10.6;0.0;EXACT
57;2016;10.1;10.2;0.1;WITHIN_0.1
