"dep_code";"year";"edu_share_sup";"edu_is_interpolated"
"66";2015;23.36;True
"66";2016;23.94;False
"66";2017;24.53;True
"66";2018;25.12;True
"66";2019;25.71;True
"66";2020;26.31;True
"66";2021;26.9;True
"67";2012;26.69;True
"67";2013;27.48;True
"67";2014;28.26;True
"67";2015;29.05;True
"67";2016;29.84;False
"67";2017;30.62;True
"67";2018;31.4;True
"67";2019;32.17;True
"67";2020;32.95;True
"67";2021;33.73;True
"68";2012;22.68;True
"68";2013;23.35;True
"68";2014;24.03;True
"68";2015;24.7;True
"68";2016;25.38;False
"68";2017;26.0;True
"68";2018;26.62;True
"68";2019;27.24;True
"68";2020;27.87;True
"68";2021;28.49;True
"69";2012;37.17;True
"69";2013;38.15;True
"69";2014;39.13;True
"69";2015;40.11;True
"69";2016;41.09;False
"69";2017;42.02;True
"69";2018;42.96;True
"69";2019;43.89;True
"69";2020;44.82;True
"69";2021;45.76;True
"70";2012;17.73;True
"70";2013;18.29;True
"70";2014;18.86;True
"70";2015;19.42;True
"70";2016;19.98;False
"70";2017;20.53;True
"70";2018;21.07;True
"70";2019;21.62;True
"70";2020;22.17;True
"70";2021;22.71;True
"71";2012;18.48;True
"71";2013;19.06;True
"71";2014;19.63;True
"71";2015;20.21;True
"71";2016;20.78;False
"71";2017;21.33;True
"71";2018;21.88;True
"71";2019;22.43;True
"71";2020;22.98;True
"71";2021;23.53;True
"72";2012;19.47;True
"72";2013;19.97;True
"72";2014;20.47;True
"72";2015;20.97;True
"72";2016;21.47;False
"72";2017;22.04;True
"72";2018;22.62;True
"72";2019;23.19;True
"72";2020;23.76;True
"72";2021;24.34;True
"73";2012;26.44;True
"73";2013;27.21;True
"73";2014;27.97;True
"73";2015;28.74;True
"73";2016;29.5;False
"73";2017;30.37;True
"73";2018;31.24;True
"73";2019;32.11;True
"73";2020;32.97;True
"73";2021;33.84;True
"74";2012;29.56;True
"74";2013;30.29;True
"74";2014;31.01;True
"74";2015;31.74;True
"74";2016;32.47;False
"74";2017;33.33;True
"74";2018;34.2;True
"74";2019;35.06;True
"74";2020;35.92;True
"74";2021;36.79;True
"75";2012;56.59;True
"75";2013;57.57;True
"75";2014;58.54;True
"75";2015;59.52;True
"75";2016;60.5;False
"75";2017;61.32;True
"75";2018;62.15;True
"75";2019;62.97;True
"75";2020;63.79;True
"75";2021;64.62;True
"76";2012;21.02;True
"76";2013;21.7;True
"76";2014;22.39;True
"76";2015;23.07;True
"76";2016;23.76;False
"76";2017;24.34;True
"76";2018;24.92;True
"76";2019;25.5;True
"76";2020;26.08;True
"76";2021;26.66;True
"77";2012;26.49;True
"77";2013;27.22;True
"77";2014;27.96;True
"77";2015;28.69;True
"77";2016;29.42;False
"77";2017;30.11;True
"77";2018;30.79;True
"77";2019;31.48;True
"77";2020;32.16;True
"77";2021;32.84;True
"78";2012;40.39;True
"78";2013;41.22;True
"78";2014;42.06;True
"78";2015;42.89;True
"78";2016;43.72;False
"78";2017;44.53;True
"78";2018;45.34;True
"78";2019;46.14;True
"78";2020;46.95;True
"78";2021;47.76;True
"79";2012;19.89;True
"79";2013;20.48;True
"79";2014;21.06;True
"79";2015;21.65;True
"79";2016;22.24;False
"79";2017;22.88;True
"79";2018;23.52;True
"79";2019;24.16;True
"79";2020;24.79;True
"79";2021;25.43;True
"80";2012;19.77;True
"80";2013;20.37;True
"80";2014;20.98;True
"80";2015;21.58;True
"80";2016;22.19;False
"80";2017;22.75;True
"80";2018;23.31;True
"80";2019;23.87;True
"80";2020;24.43;True
"80";2021;24.99;True
"81";2012;22.23;True
"81";2013;22.9;True
"81";2014;23.58;True
"81";2015;24.25;True
"81";2016;24.92;False
"81";2017;25.56;True
"81";2018;26.2;True
"81";2019;26.84;True
"81";2020;27.49;True
"81";2021;28.13;True
"82";2012;20.64;True
"82";2013;21.23;True
"82";2014;21.83;True
"82";2015;22.42;True
"82";2016;23.02;False
"82";2017;23.62;True
"82";2018;24.22;True
"82";2019;24.82;True
"82";2020;25.43;True
"82";2021;26.03;True
"83";2012;23.8;True
"83";2013;24.51;True
"83";2014;25.21;True
"83";2015;25.92;True
"83";2016;26.63;False
"83";2017;27.31;True
"83";2018;27.99;True
"83";2019;28.66;True
"83";2020;29.34;True
"83";2021;30.02;True
"84";2012;23.42;True
"84";2013;23.94;True
"84";2014;24.45;True
"84";2015;24.97;True
"84";2016;25.49;False
"84";2017;26.15;True
"84";2018;26.82;True
"84";2019;27.48;True
"84";2020;28.15;True
"84";2021;28.82;True
"85";2012;18.63;True
"85";2013;19.18;True
"85";2014;19.74;True
"85";2015;20.29;True
"85";2016;20.85;False
"85";2017;21.46;True
"85";2018;22.06;True
"85";2019;22.67;True
"85";2020;23.28;True
"85";2021;23.88;True
"86";2012;23.57;True
"86";2013;24.23;True
"86";2014;24.89;True
"86";2015;25.55;True
"86";2016;26.21;False
"86";2017;26.74;True
"86";2018;27.27;True
"86";2019;27.8;True
"86";2020;28.34;True
"86";2021;28.87;True
"87";2012;23.24;True
"87";2013;23.82;True
"87";2014;24.39;True
"87";2015;24.97;True
"87";2016;25.55;False
"87";2017;26.21;True
"87";2018;26.87;True
"87";2019;27.54;True
"87";2020;28.2;True
"87";2021;28.86;True
"88";2012;17.81;True
"88";2013;18.3;True
"88";2014;18.78;True
"88";2015;19.27;True
"88";2016;19.76;False
"88";2017;20.27;True
"88";2018;20.78;True
"88";2019;21.3;True
"88";2020;21.81;True
"88";2021;22.32;True
"89";2012;17.64;True
"89";2013;18.11;True
"89";2014;18.59;True
"89";2015;19.06;True
"89";2016;19.54;False
"89";2017;20.06;True
"89";2018;20.57;True
"89";2019;21.09;True
"89";2020;21.61;True
"89";2021;22.12;True
"90";2012;24.72;True
"90";2013;25.41;True
"90";2014;26.09;True
"90";2015;26.78;True
"90";2016;27.47;False
"90";2017;27.91;True
"90";2018;28.36;True
"90";2019;28.8;True
"90";2020;29.24;True
"90";2021;29.69;True
"91";2012;32.43;True
"91";2013;33.17;True
"91";2014;33.91;True
"91";2015;34.65;True
"91";2016;35.39;False
"91";2017;36.03;True
"91";2018;36.67;True
"91";2019;37.31;True
"91";2020;37.96;True
"91";2021;38.6;True
"92";2012;48.13;True
"92";2013;49.14;True
"92";2014;50.16;True
"92";2015;51.17;True
"92";2016;52.19;False
"92";2017;53.14;True
"92";2018;54.1;True
"92";2019;55.05;True
"92";2020;56.0;True
"92";2021;56.96;True
"93";2012;23.13;True
"93";2013;23.93;True
"93";2014;24.73;True
"93";2015;25.53;True
"93";2016;26.33;False
"93";2017;27.14;True
"93";2018;27.96;True
"93";2019;28.77;True
"93";2020;29.59;True
"93";2021;30.4;True
"94";2012;34.98;True
"94";2013;35.92;True
"94";2014;36.86;True
"94";2015;37.8;True
"94";2016;38.74;False
"94";2017;39.59;True
"94";2018;40.44;True
"94";2019;41.28;True
"94";2020;42.13;True
"94";2021;42.98;True
"95";2012;27.91;True
"95";2013;28.71;True
"95";2014;29.52;True
"95";2015;30.32;True
"95";2016;31.13;False
"95";2017;31.92;True
"95";2018;32.72;True
"95";2019;33.52;True
"95";2020;34.31;True
"95";2021;35.1;True
