column_name;total_non_null;years_with_data;n_years
TP60Q214_PAU_DEC;96;[2014];1
TP60Q214_PAU_DISP;96;[2014];1
TR10PAUT14;96;[2014];1
TR10PBEN14_TR_DEC;96;[2014];1
TR10PBEN14_TR_DISP;96;[2014];1
TR10PCHO14;96;[2014];1
TR10PIMPOT14;96;[2014];1
TR10PPAT14;96;[2014];1
TR10PPEN14_TR_DEC;96;[2014];1
TR10PPEN14_TR_DISP;96;[2014];1
TR10PPFAM14;96;[2014];1
TR10PPLOGT14;96;[2014];1
TR10PPMINI14;96;[2014];1
TR10PPSOC14;96;[2014];1
TR10PTSA14;96;[2014];1
TR10PTSAC14;96;[2014];1
TR1PAUT14;96;[2014];1
TR1PBEN14_TR_DEC;96;[2014];1
TR1PBEN14_TR_DISP;96;[2014];1
TR1PCHO14;96;[2014];1
TR1PIMPOT14;96;[2014];1
TR1PPAT14;96;[2014];1
TR1PPEN14_TR_DEC;96;[2014];1
TR1PPEN14_TR_DISP;96;[2014];1
TR1PPFAM14;96;[2014];1
TR1PPLOGT14;96;[2014];1
TR1PPMINI14;96;[2014];1
TR1PPSOC14;96;[2014];1
TR1PTSA14;96;[2014];1
TR1PTSAC14;96;[2014];1
TR2PAUT14;96;[2014];1
TR2PBEN14_TR_DEC;96;[2014];1
TR2PBEN14_TR_DISP;96;[2014];1
TR2PCHO14;96;[2014];1
TR2PIMPOT14;96;[2014];1
TR2PPAT14;96;[2014];1
TR2PPEN14_TR_DEC;96;[2014];1
TR2PPEN14_TR_DISP;96;[2014];1
TR2PPFAM14;96;[2014];1
TR2PPLOGT14;96;[2014];1
TR2PPMINI14;96;[2014];1
TR2PPSOC14;96;[2014];1
TR2PTSA14;96;[2014];1
TR2PTSAC14;96;[2014];1
TR3PAUT14;96;[2014];1
TR3PBEN14_TR_DEC;96;[2014];1
TR3PBEN14_TR_DISP;96;[2014];1
TR3PCHO14;96;[2014];1
TR3PIMPOT14;96;[2014];1
TR3PPAT14;96;[2014];1
TR3PPEN14_TR_DEC;96;[2014];1
TR3PPEN14_TR_DISP;96;[2014];1
TR3PPFAM14;96;[2014];1
TR3PPLOGT14;96;[2014];1
TR3PPMINI14;96;[2014];1
TR3PPSOC14;96;[2014];1
TR3PTSA14;96;[2014];1
TR3PTSAC14;96;[2014];1
TR4PAUT14;96;[2014];1
TR4PBEN14_TR_DEC;96;[2014];1
TR4PBEN14_TR_DISP;96;[2014];1
TR4PCHO14;96;[2014];1
TR4PIMPOT14;96;[2014];1
TR4PPAT14;96;[2014];1
TR4PPEN14_TR_DEC;96;[2014];1
TR4PPEN14_TR_DISP;96;[2014];1
TR4PPFAM14;96;[2014];1
TR4PPLOGT14;96;[2014];1
TR4PPMINI14;96;[2014];1
TR4PPSOC14;96;[2014];1
TR4PTSA14;96;[2014];1
TR4PTSAC14;96;[2014];1
TR5PAUT14;96;[2014];1
TR5PBEN14_TR_DEC;96;[2014];1
TR5PBEN14_TR_DISP;96;[2014];1
TR5PCHO14;96;[2014];1
TR5PIMPOT14;96;[2014];1
TR5PPAT14;96;[2014];1
TR5PPEN14_TR_DEC;96;[2014];1
TR5PPEN14_TR_DISP;96;[2014];1
TR5PPFAM14;96;[2014];1
TR5PPLOGT14;96;[2014];1
TR5PPMINI14;96;[2014];1
TR5PPSOC14;96;[2014];1
TR5PTSA14;96;[2014];1
TR5PTSAC14;96;[2014];1
TR6PAUT14;96;[2014];1
TR6PBEN14_TR_DEC;96;[2014];1
TR6PBEN14_TR_DISP;96;[2014];1
TR6PCHO14;96;[2014];1
TR6PIMPOT14;96;[2014];1
TR6PPAT14;96;[2014];1
TR6PPEN14_TR_DEC;96;[2014];1
TR6PPEN14_TR_DISP;96;[2014];1
TR6PPFAM14;96;[2014];1
TR6PPLOGT14;96;[2014];1
TR6PPMINI14;96;[2014];1
TR6PPSOC14;96;[2014];1
TR6PTSA14;96;[2014];1
TR6PTSAC14;96;[2014];1
TR7PAUT14;96;[2014];1
TR7PBEN14_TR_DEC;96;[2014];1
TR7PBEN14_TR_DISP;96;[2014];1
TR7PCHO14;96;[2014];1
TR7PIMPOT14;96;[2014];1
TR7PPAT14;96;[2014];1
TR7PPEN14_TR_DEC;96;[2014];1
TR7PPEN14_TR_DISP;96;[2014];1
TR7PPFAM14;96;[2014];1
TR7PPLOGT14;96;[2014];1
TR7PPMINI14;96;[2014];1
TR7PPSOC14;96;[2014];1
TR7PTSA14;96;[2014];1
TR7PTSAC14;96;[2014];1
TR8PAUT14;96;[2014];1
TR8PBEN14_TR_DEC;96;[2014];1
TR8PBEN14_TR_DISP;96;[2014];1
TR8PCHO14;96;[2014];1
TR8PIMPOT14;96;[2014];1
TR8PPAT14;96;[2014];1
TR8PPEN14_TR_DEC;96;[2014];1
TR8PPEN14_TR_DISP;96;[2014];1
TR8PPFAM14;96;[2014];1
TR8PPLOGT14;96;[2014];1
TR8PPMINI14;96;[2014];1
TR8PPSOC14;96;[2014];1
TR8PTSA14;96;[2014];1
TR8PTSAC14;96;[2014];1
TR9PAUT14;96;[2014];1
TR9PBEN14_TR_DEC;96;[2014];1
TR9PBEN14_TR_DISP;96;[2014];1
TR9PCHO14;96;[2014];1
TR9PIMPOT14;96;[2014];1
TR9PPAT14;96;[2014];1
TR9PPEN14_TR_DEC;96;[2014];1
TR9PPEN14_TR_DISP;96;[2014];1
TR9PPFAM14;96;[2014];1
TR9PPLOGT14;96;[2014];1
TR9PPMINI14;96;[2014];1
TR9PPSOC14;96;[2014];1
TR9PTSA14;96;[2014];1
TR9PTSAC14;96;[2014];1
D115_DEC;96;[2015];1
D115_DISP;96;[2015];1
D215_DEC;96;[2015];1
D215_DISP;96;[2015];1
D315_DEC;96;[2015];1
D315_DISP;96;[2015];1
D415_DEC;96;[2015];1
D415_DISP;96;[2015];1
D615_DEC;96;[2015];1
D615_DISP;96;[2015];1
D715_DEC;96;[2015];1
D715_DISP;96;[2015];1
D815_DEC;96;[2015];1
D815_DISP;96;[2015];1
D915_DEC;96;[2015];1
D915_DISP;96;[2015];1
GI15_DEC;96;[2015];1
GI15_DISP;96;[2015];1
NBMEN15_DEC;96;[2015];1
NBMEN15_DISP;96;[2015];1
NBPERS15_DEC;96;[2015];1
NBPERS15_DISP;96;[2015];1
NBUC15_DEC;96;[2015];1
NBUC15_DISP;96;[2015];1
PACT15_DEC;96;[2015];1
PACT15_DISP;96;[2015];1
PAUT15;96;[2015];1
PBEN15_DEC;96;[2015];1
PBEN15_DISP;96;[2015];1
PCHO15_DEC;96;[2015];1
PCHO15_DISP;96;[2015];1
PIMPOT15;96;[2015];1
PMIMP15;96;[2015];1
PPAT15;96;[2015];1
PPEN15_DEC;96;[2015];1
PPEN15_DISP;96;[2015];1
PPFAM15;96;[2015];1
PPLOGT15;96;[2015];1
PPMINI15;96;[2015];1
PPSOC15;96;[2015];1
PTSA15_DEC;96;[2015];1
PTSA15_DISP;96;[2015];1
Q115_DEC;96;[2015];1
Q115_DISP;96;[2015];1
Q215_DEC;96;[2015];1
Q215_DISP;96;[2015];1
Q315_DEC;96;[2015];1
Q315_DISP;96;[2015];1
S80S2015_DEC;96;[2015];1
S80S2015_DISP;96;[2015];1
TP4015_PAU_DEC;96;[2015];1
TP4015_PAU_DISP;96;[2015];1
TP5015_PAU_DEC;96;[2015];1
TP5015_PAU_DISP;96;[2015];1
TP6015_PAU_DEC;96;[2015];1
TP6015_PAU_DISP;96;[2015];1
TP60IP15_PAU_DEC;96;[2015];1
TP60IP15_PAU_DISP;96;[2015];1
TP60Q215_PAU_DEC;96;[2015];1
TP60Q215_PAU_DISP;96;[2015];1
TR10PACT15_TR_DEC;96;[2015];1
TR10PACT15_TR_DISP;96;[2015];1
TR10PAUT15;96;[2015];1
TR10PBEN15_TR_DEC;96;[2015];1
TR10PBEN15_TR_DISP;96;[2015];1
TR10PCHO15_TR_DEC;96;[2015];1
TR10PCHO15_TR_DISP;96;[2015];1
TR10PIMPOT15;96;[2015];1
TR10PPAT15;96;[2015];1
TR10PPEN15_TR_DEC;96;[2015];1
TR10PPEN15_TR_DISP;96;[2015];1
TR10PPFAM15;96;[2015];1
TR10PPLOGT15;96;[2015];1
TR10PPMINI15;96;[2015];1
TR10PPSOC15;96;[2015];1
TR10PTSA15_TR_DEC;96;[2015];1
TR10PTSA15_TR_DISP;96;[2015];1
TR1PACT15_TR_DEC;96;[2015];1
TR1PACT15_TR_DISP;96;[2015];1
TR1PAUT15;96;[2015];1
TR1PBEN15_TR_DEC;96;[2015];1
TR1PBEN15_TR_DISP;96;[2015];1
TR1PCHO15_TR_DEC;96;[2015];1
TR1PCHO15_TR_DISP;96;[2015];1
TR1PIMPOT15;96;[2015];1
TR1PPAT15;96;[2015];1
TR1PPEN15_TR_DEC;96;[2015];1
TR1PPEN15_TR_DISP;96;[2015];1
TR1PPFAM15;96;[2015];1
TR1PPLOGT15;96;[2015];1
TR1PPMINI15;96;[2015];1
TR1PPSOC15;96;[2015];1
TR1PTSA15_TR_DEC;96;[2015];1
TR1PTSA15_TR_DISP;96;[2015];1
TR2PACT15_TR_DEC;96;[2015];1
TR2PACT15_TR_DISP;96;[2015];1
TR2PAUT15;96;[2015];1
TR2PBEN15_TR_DEC;96;[2015];1
TR2PBEN15_TR_DISP;96;[2015];1
TR2PCHO15_TR_DEC;96;[2015];1
TR2PCHO15_TR_DISP;96;[2015];1
TR2PIMPOT15;96;[2015];1
TR2PPAT15;96;[2015];1
TR2PPEN15_TR_DEC;96;[2015];1
TR2PPEN15_TR_DISP;96;[2015];1
TR2PPFAM15;96;[2015];1
TR2PPLOGT15;96;[2015];1
TR2PPMINI15;96;[2015];1
TR2PPSOC15;96;[2015];1
TR2PTSA15_TR_DEC;96;[2015];1
TR2PTSA15_TR_DISP;96;[2015];1
TR3PACT15_TR_DEC;96;[2015];1
TR3PACT15_TR_DISP;96;[2015];1
TR3PAUT15;96;[2015];1
TR3PBEN15_TR_DEC;96;[2015];1
TR3PBEN15_TR_DISP;96;[2015];1
TR3PCHO15_TR_DEC;96;[2015];1
TR3PCHO15_TR_DISP;96;[2015];1
TR3PIMPOT15;96;[2015];1
TR3PPAT15;96;[2015];1
TR3PPEN15_TR_DEC;96;[2015];1
TR3PPEN15_TR_DISP;96;[2015];1
TR3PPFAM15;96;[2015];1
TR3PPLOGT15;96;[2015];1
TR3PPMINI15;96;[2015];1
TR3PPSOC15;96;[2015];1
TR3PTSA15_TR_DEC;96;[2015];1
