dep_code;year;total_firm_creations;creations_individual;creations_sarl;creations_sas;creations_other_legal;creations_sector_industry;creations_sector_construction;creations_sector_trade;creations_sector_services
23;2012;786;649;92;31;14;114;123;151;398
23;2013;741;612;65;43;21;83;115;147;396
23;2014;748;620;59;55;14;78;98;139;433
23;2015;632;533;43;40;16;62;57;112;401
23;2016;623;496;39;73;15;66;71;131;355
23;2017;702;556;42;82;22;64;75;159;404
23;2018;692;566;38;70;18;66;87;140;399
23;2019;812;670;58;73;11;95;83;143;491
23;2020;859;715;39;90;15;112;83;172;492
23;2021;985;769;86;114;16;115;112;177;581
24;2012;3411;2802;470;85;54;218;544;785;1864
24;2013;3413;2764;406;168;75;232;513;807;1861
24;2014;3448;2804;376;226;42;261;493;757;1937
24;2015;3287;2617;340;299;31;230;437;755;1865
24;2016;3354;2611;319;376;48;230;416;732;1976
24;2017;3606;2839;292;437;38;217;445;831;2113
24;2018;3715;3031;322;326;36;233;413;873;2196
24;2019;4533;3693;344;444;52;338;502;881;2812
24;2020;4671;3875;309;448;39;387;524;1001;2759
24;2021;5350;4331;382;587;50;431;519;978;3422
25;2012;3554;2751;630;101;72;187;492;903;1972
25;2013;3735;2882;599;186;68;216;452;1093;1974
25;2014;3722;2859;546;247;70;256;436;962;2068
25;2015;3482;2590;517;319;56;222;350;918;1992
25;2016;3808;2769;486;410;143;219;397;1089;2103
25;2017;3866;2880;441;468;77;227;332;1192;2115
25;2018;4400;3426;419;464;91;225;431;1256;2488
25;2019;4998;4009;414;485;90;264;409;1363;2962
25;2020;5518;4429;398;614;77;345;560;1540;3073
25;2021;6297;4915;481;817;84;429;532;1404;3932
26;2012;4861;3679;873;229;80;286;864;1072;2639
26;2013;4721;3573;746;326;76;306;780;1071;2564
26;2014;4976;3707;687;494;88;335;788;1102;2751
26;2015;4734;3519;521;589;105;341;684;967;2742
26;2016;4795;3509;508;702;76;301;691;1116;2687
26;2017;4985;3643;455;795;92;314;658;1108;2905
26;2018;5424;4064;481;776;103;343;669;1122;3290
26;2019;6352;4878;527;852;95;443;803;1126;3980
26;2020;6615;5135;452;947;81;514;788;1320;3993
26;2021;7568;5749;580;1156;83;617;908;1222;4821
27;2012;3875;2949;712;144;70;212;690;873;2100
27;2013;3716;2804;619;209;84;188;631;896;2001
27;2014;4046;3070;582;296;98;244;691;979;2132
27;2015;3680;2667;519;410;84;207;588;910;1975
27;2016;3936;2769;500;576;91;195;542;1018;2181
27;2017;4117;2949;471;608;89;205;546;1127;2239
27;2018;4583;3464;460;571;88;224;531;1303;2525
27;2019;5240;3973;451;700;116;305;674;1335;2926
27;2020;5516;4366;366;683;101;383;665;1503;2965
27;2021;6369;4933;508;838;90;459;775;1519;3616
28;2012;2707;1983;540;124;60;149;412;714;1432
28;2013;2724;1931;483;229;81;139;402;717;1466
28;2014;2842;2063;412;280;87;191;402;685;1564
28;2015;2569;1798;382;332;57;124;330;637;1478
28;2016;2718;1941;317;406;54;136;305;713;1564
28;2017;2913;2024;310;522;57;139;336;817;1621
28;2018;3207;2345;274;517;71;130;338;891;1848
28;2019;3771;2804;308;591;68;202;429;894;2246
28;2020;4043;3072;253;646;72;204;415;945;2479
28;2021;4839;3627;327;791;94;339;450;947;3103
29;2012;5412;4198;948;170;96;389;750;1071;3202
29;2013;5374;4169;826;261;118;350;683;1118;3223
29;2014;5655;4385;784;364;122;380;690;1119;3466
29;2015;5579;4151;815;492;121;353;574;1226;3426
29;2016;5520;4066;752;584;118;379;637;1174;3330
29;2017;5869;4340;762;620;147;366;623;1242;3638
29;2018;6347;4960;703;548;136;359;597;1304;4087
29;2019;7453;5807;834;670;142;517;728;1193;5015
29;2020;7504;5853;782;735;134;552;694;1367;4891
29;2021;9469;7171;1092;1027;179;711;872;1562;6324
2A;2012;1972;1420;450;66;36;99;511;335;1027
2A;2013;1934;1382;352;158;42;101;451;344;1038
2A;2014;1958;1407;303;202;46;117;466;327;1048
2A;2015;1945;1301;296;296;52;102;362;347;1134
2A;2016;1950;1269;215;411;55;108;346;304;1192
2A;2017;2121;1338;246;476;61;116;364;371;1270
2A;2018;2306;1520;239;487;60;100;398;348;1460
2A;2019;2734;1882;221;560;71;144;482;374;1734
2A;2020;2572;1804;158;544;66;135;472;415;1550
2A;2021;2925;2028;171;674;52;217;454;440;1814
2B;2012;2044;1559;373;69;43;114;495;354;1081
2B;2013;1975;1403;375;150;47;142;440;366;1027
2B;2014;2027;1418;310;247;52;167;418;315;1127
2B;2015;1851;1304;205;308;34;156;351;315;1029
2B;2016;2067;1360;211;431;65;107;371;387;1202
2B;2017;2158;1374;175;563;46;140;437;379;1202
2B;2018;2304;1559;199;469;77;173;431;392;1308
2B;2019;2491;1734;168;528;61;184;424;399;1484
2B;2020;2373;1689;144;484;56;183;403;436;1351
2B;2021;2889;1976;191;663;59;257;449;427;1756
30;2012;7633;5859;1408;268;98;415;1466;1793;3959
30;2013;7167;5428;1147;504;88;389;1286;1717;3775
30;2014;7377;5576;1016;692;93;487;1277;1666;3947
30;2015;6960;5111;850;870;129;406;1167;1636;3751
30;2016;7180;5038;879;1128;135;364;1176;1734;3906
30;2017;7182;5061;804;1200;117;386;1021;1847;3928
30;2018;8089;6032;783;1156;118;386;1105;1970;4628
30;2019;9361;7130;800;1290;141;513;1283;2096;5469
