dep_code;year;pct_urban;density_class;density_is_static
"61";2021;25.992271;rural;True
"62";2012;69.803162;intermediate;True
"62";2013;69.803162;intermediate;True
"62";2014;69.803162;intermediate;True
"62";2015;69.803162;intermediate;True
"62";2016;69.803162;intermediate;True
"62";2017;69.803162;intermediate;True
"62";2018;69.803162;intermediate;True
"62";2019;69.803162;intermediate;True
"62";2020;69.803162;intermediate;True
"62";2021;69.803162;intermediate;True
"63";2012;56.128812;intermediate;True
"63";2013;56.128812;intermediate;True
"63";2014;56.128812;intermediate;True
"63";2015;56.128812;intermediate;True
"63";2016;56.128812;intermediate;True
"63";2017;56.128812;intermediate;True
"63";2018;56.128812;intermediate;True
"63";2019;56.128812;intermediate;True
"63";2020;56.128812;intermediate;True
"63";2021;56.128812;intermediate;True
"64";2012;58.714871;intermediate;True
"64";2013;58.714871;intermediate;True
"64";2014;58.714871;intermediate;True
"64";2015;58.714871;intermediate;True
"64";2016;58.714871;intermediate;True
"64";2017;58.714871;intermediate;True
"64";2018;58.714871;intermediate;True
"64";2019;58.714871;intermediate;True
"64";2020;58.714871;intermediate;True
"64";2021;58.714871;intermediate;True
"65";2012;45.653498;rural;True
"65";2013;45.653498;rural;True
"65";2014;45.653498;rural;True
"65";2015;45.653498;rural;True
"65";2016;45.653498;rural;True
"65";2017;45.653498;rural;True
"65";2018;45.653498;rural;True
"65";2019;45.653498;rural;True
"65";2020;45.653498;rural;True
"65";2021;45.653498;rural;True
"66";2012;69.537945;intermediate;True
"66";2013;69.537945;intermediate;True
"66";2014;69.537945;intermediate;True
"66";2015;69.537945;intermediate;True
"66";2016;69.537945;intermediate;True
"66";2017;69.537945;intermediate;True
"66";2018;69.537945;intermediate;True
"66";2019;69.537945;intermediate;True
"66";2020;69.537945;intermediate;True
"66";2021;69.537945;intermediate;True
"67";2012;68.118776;intermediate;True
"67";2013;68.118776;intermediate;True
"67";2014;68.118776;intermediate;True
"67";2015;68.118776;intermediate;True
"67";2016;68.118776;intermediate;True
"67";2017;68.118776;intermediate;True
"67";2018;68.118776;intermediate;True
"67";2019;68.118776;intermediate;True
"67";2020;68.118776;intermediate;True
"67";2021;68.118776;intermediate;True
"68";2012;67.432027;intermediate;True
"68";2013;67.432027;intermediate;True
"68";2014;67.432027;intermediate;True
"68";2015;67.432027;intermediate;True
"68";2016;67.432027;intermediate;True
"68";2017;67.432027;intermediate;True
"68";2018;67.432027;intermediate;True
"68";2019;67.432027;intermediate;True
"68";2020;67.432027;intermediate;True
"68";2021;67.432027;intermediate;True
"69";2012;88.253673;urban;True
"69";2013;88.253673;urban;True
"69";2014;88.253673;urban;True
"69";2015;88.253673;urban;True
"69";2016;88.253673;urban;True
"69";2017;88.253673;urban;True
"69";2018;88.253673;urban;True
"69";2019;88.253673;urban;True
"69";2020;88.253673;urban;True
"69";2021;88.253673;urban;True
"70";2012;26.385673;rural;True
"70";2013;26.385673;rural;True
"70";2014;26.385673;rural;True
"70";2015;26.385673;rural;True
"70";2016;26.385673;rural;True
"70";2017;26.385673;rural;True
"70";2018;26.385673;rural;True
"70";2019;26.385673;rural;True
"70";2020;26.385673;rural;True
"70";2021;26.385673;rural;True
"71";2012;40.63659;rural;True
"71";2013;40.63659;rural;True
"71";2014;40.63659;rural;True
"71";2015;40.63659;rural;True
"71";2016;40.63659;rural;True
"71";2017;40.63659;rural;True
"71";2018;40.63659;rural;True
"71";2019;40.63659;rural;True
"71";2020;40.63659;rural;True
"71";2021;40.63659;rural;True
"72";2012;40.964604;rural;True
"72";2013;40.964604;rural;True
"72";2014;40.964604;rural;True
"72";2015;40.964604;rural;True
"72";2016;40.964604;rural;True
"72";2017;40.964604;rural;True
"72";2018;40.964604;rural;True
"72";2019;40.964604;rural;True
"72";2020;40.964604;rural;True
